"NO","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","matrix type","thickness/μm","T/℃","P/bar","Control N2 permeability","Control CO2 permeability","Control CO2/N2 selectivity","Relative N2 permeability","Relative CO2 permeability","Relative CO2/N2 selectivity"
"61","","","UiO-66","NH2","","1120","11","6","9.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","1.67 ","1.02 ","0.61 "
"62","","","UiO-66","NH2","","1120","11","6","16.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","2.58 ","1.25 ","0.48 "
"63","","","UiO-66","NH2","","1120","11","6","23.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","2.00 ","1.04 ","0.52 "
"64","","","UiO-66","NH2","","1120","11","6","28.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","2.17 ","1.15 ","0.53 "
"65","","","UiO-66","NH2","","1120","11","6","9.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","3.42 ","1.77 ","0.52 "
"66","","","UiO-66","NH2","","1120","11","6","16.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","4.42 ","2.00 ","0.45 "
"67","","","UiO-66","NH2","","1120","11","6","23.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","3.25 ","1.83 ","0.56 "
"68","","","UiO-66","NH2","","1120","11","6","28.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","3.67 ","1.58 ","0.43 "
"69","","","UiO-66","(COOH)2","","4223","11","6","9.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","1.67 ","0.90 ","0.54 "
"70","","","UiO-66","(COOH)2","","4223","11","6","16.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","2.00 ","1.04 ","0.52 "
"71","","","UiO-66","(COOH)2","","4223","11","6","23.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","2.25 ","1.02 ","0.45 "
"72","","","UiO-66","(COOH)2","","4223","11","6","28.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","2.33 ","1.19 ","0.51 "
"74","","","UiO-66","(COOH)2","","4223","11","6","16.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","4.17 ","1.92 ","0.46 "
"75","","","UiO-66","(COOH)2","","4223","11","6","23.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","3.92 ","1.88 ","0.48 "
"76","","","UiO-66","(COOH)2","","4223","11","6","28.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","3.08 ","1.89 ","0.61 "
"78","2019","7","UiO-66","NH2","1000","889","11","6","9.10%","PGMA-co-POEM","0.45","25.0 ","1.0 ","27.25 ","1240.00 ","","1.55 ","1.77 ","0.61 "
"79","","","UiO-66","NH2","1000","889","11","6","16.70%","PGMA-co-POEM","0.45","25.0 ","1.0 ","27.25 ","1240.00 ","","6.54 ","4.60 ","0.61 "
"80","","","UiO-66","NH2","1000","889","11","6","23.10%","PGMA-co-POEM","0.45","25.0 ","1.0 ","27.25 ","1240.00 ","","7.67 ","5.65 ","0.61 "
"81","","","UiO-66","NH2","1000","889","11","6","28.60%","PGMA-co-POEM","0.45","25.0 ","1.0 ","27.25 ","1240.00 ","","11.75 ","7.90 ","0.61 "
"82","","","UiO-66","NH2","1000","889","11","6","33.30%","PGMA-co-POEM","0.45","25.0 ","1.0 ","27.25 ","1240.00 ","","10.93 ","5.89 ","0.61 "
"84","2020","8","UiO-66","","250","1288","11","6","2.00%","6FDA-ODA","0.45","35","3","0.37 ","13.36 ","","1.20 ","1.29 ","0.61 "
"85","","","UiO-66","","250","1288","11","6","5.00%","6FDA-ODA","0.45","35","3","0.37 ","13.36 ","","1.25 ","1.48 ","0.61 "
"86","","","UiO-66","","250","1288","11","6","10.00%","6FDA-ODA","0.45","35","3","0.37 ","13.36 ","","1.24 ","1.68 ","0.61 "
"87","","","UiO-66","","250","1288","11","6","15.00%","6FDA-ODA","0.45","35","3","0.37 ","13.36 ","","1.35 ","2.11 ","0.61 "
"88","","","UiO-66","","250","1288","11","6","20.00%","6FDA-ODA","0.45","35","3","0.37 ","13.36 ","","2.13 ","2.75 ","0.61 "
"90","2019","9","UiO-66","(OH)2","324","537","11","6","10.00%","6FDD","50","35","3","7.80 ","165.00 ","21.15 ","1.15 ","1.22 ","1.06 "
"91","","","UiO-66","(OH)2","324","537","11","6","20.00%","6FDD","50","35","3","7.80 ","165.00 ","21.15 ","1.47 ","1.53 ","1.04 "
"92","","","UiO-66","(OH)2","324","537","11","6","30.00%","6FDD","50","35","3","7.80 ","165.00 ","21.15 ","2.21 ","2.05 ","0.93 "
"93","","","UiO-66","(OH)2","324","537","11","6","40.00%","6FDD","50","35","3","7.80 ","165.00 ","21.15 ","2.47 ","2.43 ","0.98 "
"94","","","UiO-66","(OH)2","324","537","11","6","50.00%","6FDD","50","35","3","7.80 ","165.00 ","21.15 ","4.00 ","3.94 ","0.98 "
"96","2018","10","UiO-66","","250","1538","11","6","2.00%","Matrimid5218","100","25","10","0.29 ","8.00 ","28.00 ","1.50 ","1.61 ","1.08 "
"97","","","UiO-66","","250","1538","11","6","5.00%","Matrimid5218","100","25","10","0.29 ","8.00 ","28.00 ","1.73 ","2.06 ","1.19 "
"98","","","UiO-66","","250","1538","11","6","11.00%","Matrimid5218","100","25","10","0.29 ","8.00 ","28.00 ","2.36 ","2.88 ","1.22 "
"99","","","UiO-66","","250","1538","11","6","3.00%","Matrimid5218","100","25","10","0.29 ","8.00 ","28.00 ","1.65 ","1.90 ","1.15 "
"100","","","UiO-66","","250","1538","11","6","6.00%","Matrimid5218","100","25","10","0.29 ","8.00 ","28.00 ","1.80 ","2.12 ","1.18 "
"103","2018","11","UiO-66","","100","1500","11","6","5.00%","PMMA","150","24.0 ","4.0 ","0.01 ","0.55 ","50.00 ","1.09 ","1.07 ","0.98 "
"104","","","UiO-66","","100","1500","11","6","11.00%","PMMA","150","24.0 ","4.0 ","0.01 ","0.55 ","50.00 ","1.19 ","1.33 ","1.11 "
"105","","","UiO-66","","100","1500","11","6","15.00%","PMMA","150","24.0 ","4.0 ","0.01 ","0.55 ","50.00 ","1.41 ","1.49 ","1.06 "
"106","","","UiO-66","","100","1500","11","6","21.00%","PMMA","150","24.0 ","4.0 ","0.01 ","0.55 ","50.00 ","2.13 ","2.05 ","0.97 "
"107","","","UiO-66","NH2","","889","11","6","20.00%","PMMA","150","24.0 ","4.0 ","0.01 ","0.55 ","50.00 ","1.27 ","2.15 ","1.69 "
"108","","","UiO-66","GMA","","965","11","6","28.00%","PMMA","150","24.0 ","4.0 ","0.01 ","0.55 ","50.00 ","1.09 ","2.04 ","1.87 "
"116","2013","13","UiO-66","","200","983","11","6","10%","Matrimid5218","100","35","4","0.43 ","6.80 ","15.70 ","0.58 ","1.09 ","1.87 "
"117","","","UiO-66","Azo","200","394","10","6","5.00%","Matrimid5218","100","35","4","0.43 ","6.80 ","15.70 ","0.46 ","1.03 ","2.25 "
"118","","","UiO-66","Azo","200","394","10","6","10.00%","Matrimid5218","100","35","4","0.43 ","6.80 ","15.70 ","0.63 ","1.47 ","2.34 "
"119","","","UiO-66","Azo","200","394","10","6","20.00%","Matrimid5218","100","35","4","0.43 ","6.80 ","15.70 ","0.71 ","1.84 ","2.59 "
"121","2016","14","UiO-66","","70","847","11","5.9","5.00%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","1.22 ","1.46 ","1.20 "
"122","","","UiO-66","","70","847","11","5.9","7.50%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","1.36 ","1.72 ","1.26 "
"123","","","UiO-66","","70","847","11","5.9","10.00%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","1.54 ","1.88 ","1.22 "
"124","","","UiO-66","","70","847","11","5.9","12.50%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","2.71 ","2.24 ","0.83 "
"125","","","UiO-66","","70","847","11","5.9","15.00%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","3.92 ","2.30 ","0.59 "
"126","","","UiO-66","","70","847","11","5.9","20.00%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","6.12 ","2.66 ","0.43 "
"127","","","UiO-66","NH2","57.5","822","11","5.9","5.00%","PEBA","","25","0.3","1.09 ","50.00 ","46.00 ","0.95 ","1.40 ","1.48 "
